pathway	gene1	gene2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOA	FBP2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOB	FBP1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOB	PFKL
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOB	PFKM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOB	PFKP
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOB	FBP2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOC	FBP1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOC	PFKL
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOC	PFKM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOC	PFKP
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOC	FBP2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	ALDOA
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	ALDOB
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	ALDOC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	PGK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	PGK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	TPI1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GAPDH	LOC729708
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GCK	GALM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GCK	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	G6PC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	GCK
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	HK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	HK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	HK3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	PGM1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	PGM3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	GPI	G6PC2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	HK1	GALM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	HK1	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	HK2	GALM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	HK2	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	HK3	GALM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	HK3	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHA	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHA	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHB	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHB	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHC	PKLR
